รหัสวิชา,ชื่อวิชา,หน่วยกิจ
03601457-65,"Electrical Systems and Signal Systems in Building 
ระบบไฟฟ้าและระบบสัญญาณในอาคาร",3(3-0-6)
03601461-65,"Process Control 
การควบคุมกระบวนการ",3(3-0-6)
03601462-65,"Industrial Sensors and Control Devices 
เซนเซอร์ทางอุตสาหกรรมและอุปกรณ์ควบคุม",3(3-0-6)
03601463-65,"Computer Control of Machines and Processes 
การควบคุมเครื่องจักรกลและกระบวนการด้วยคอมพิวเตอร์",3(3-0-6)
03601464-65,"Sensors and Transducers 
เซนเซอร์และตัวแปลงสัญญาณ",3(3-0-6)
03601465-65,"ิElectrical and Electronics Innovation 
นวัตกรรมทางไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6)
03601466-65,"Introduction to Robotic Systems 
ระบบหุ่นยนต์เบื้องต้น",3(3-0-6)
03601467-65,"Railway Signaling and Control Systems 
ระบบอาณัติสัญญาณและควบคุมระบบราง",3(3-0-6)
03601471-65,"Analysis and Applications of Electrical Machines 
การวิเคราะห์และประยุกต์เครื่องจักรไฟฟ้า",3(3-0-6)
03601472-65,"Electric Drives 
การขับเคลื่อนด้วยไฟฟ้า",3(3-0-6)
