รหัสวิชา,ชื่อวิชา,หน่วยกิจ
03603252-55,"Database Systems Laboratory
ปฏิบัติการระบบฐานข้อมูล",1(0-3-2)
03603112-55,"Programming Fundamentals II
หลักการโปรแกรมเบื้องต้น II",3(2-3-6)
03603212-55,"Abstract Data Types and Problem Solving
แบบชนิดข้อมูลนามธรรมและการแก้ปัญหา",3(3-0-6)
03603213-55,"Algorithm Design and Analysis
การออกแบบและวิเคราะห์ขั้นตอนวิธี",3(3-0-6)
03603214-55,"Programming Skills Development Laboratory
ปฏิบัติการพัฒนาทักษะการโปรแกรม",1(0-3-2)
03603341-55,"Software Engineering
วิศวกรรมซอฟต์แวร์",4(3-3-8)
03603211-55,"Discrete Mathematics
คณิตศาสตร์เต็มหน่วย",3(3-0-6)
03603312-55,"Probability and Random Processes for Computer Engineers
ความน่าจะเป็นและกระบวนการสุ่มสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03603325-55,"Data Communications
การสื่อสารข้อมูล",3(3-0-6)
03603332-55,"Operating Systems
ระบบปฏิบัติการ",3(3-0-6)
03603371-55,"Digital Signal Processing for Computer Engineers
การประมวลผลสัญญาณดิจิทัลสำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03603421-55,"Computer Networks
เครือข่ายคอมพิวเตอร์",3(3-0-6)
03601203-55,"Electronics for Computer Engineers
อิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",3(3-0-6)
03601303-55,"Electronics Laboratory for Computer Engineers
ปฏิบัติการอิเล็กทรอนิกส์สำหรับวิศวกรคอมพิวเตอร์",1(0-3-2)
03603221-55,"Digital Systems Design
การออกแบบระบบดิจิทัล",3(3-0-6)
03603222-55,"Logic Circuit Laboratory
ปฏิบัติการวงจรตรรก",1(0-3-2)
03603223-55,"Computer Architecture and Organization
สถาปัตยกรรมและการจัดระบบคอมพิวเตอร์",3(3-0-6)
03603321-55,"Microcontroller and Microprocessor System Design
การออกแบบระบบไมโครคอนโทรลเลอร์และระบบไมโครโปรเซสเซอร์",3(3-0-6)
03603322-55,"Computer System Laboratory
ปฏิบัติการระบบคอมพิวเตอร์",1(0-3-2)
03603495-55,"Computer Engineering and Informatics Project Preparation
การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",1(0-3-2)
03603497-55,"Seminar
สัมมนา",1
03603499-55,"Computer Engineering and Informatics Project
โครงงานวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์",2(0-6-3)
